"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRDED","HHIP_DED","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHISPECT","HHIS_ECT","HHIPROUT","HHIP_OUT","HHIPRYOU","HHIP_YOU","HHIRPMPD","HHISUBPD","HHIS_BPD","PORTAL","PORTAL_","PORTPLAN","PORT_LAN","PREMSUBS","PREM_UBS"
"20153","02990784",5,0,"5","01","D",,"A",3,"D","3","D","2","D","D",825,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02990964",9,0,"5","01","D",,"A",2,"D","2","D","1","D","D",1079,"D","1","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02991074",14,0,"5","01","D",,"A",2,"D","2","D","1","D","D",910,"D","1","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02991074",15,0,"5","02","D",,"A",1,"D","1","D","2","D","D",450,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A","1","D","5","D","2","D"
"20153","02991154",14,0,"5","01","D",,"A",2,"D","2","D",,"A","A",.,"A","1","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02991234",7,0,"5","01","D",,"A",1,"D","2","D","1","D","D",423,"D","2","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02991234",8,0,"5","02","D",,"A",1,"D","2","D","1","D","D",423,"D","1","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02991294",5,0,"5","01","D",,"A",2,"D","1","D",,"A","A",.,"A","2","D","2","D",,"A",,"A","2","D","2","D",,"1","D","1","D",,"C","1","D"
"20153","02991394",22,0,"5","02","D",,"A",1,"D","1","D","2","D","D",315,"D","2","D","2","D",,"A",,"A",,"A","1","D","04","1","D","1","D","3","D","1","D"
"20153","02991444",5,0,"1","01","D",,"A",1,"D","2","D","1","D","D",276,"F","2","D","1","D","2","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02991494",12,0,"5","01","D",,"A",4,"D","2","D",,"A","A",.,"A","2","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02991494",13,0,"5","02","D",,"A",4,"D","2","D",,"A","A",.,"A","2","D","4","D",,"A","1","D","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02991524",15,0,"5","01","D",,"A",3,"D","1","D","2","D","D",2163,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991544",20,0,"5","01","D",,"A",2,"D","2","D","1","D","D",375,"D","2","D","2","D",,"A",,"A",,"A","1","D","06",,"A",,"A",,"A",,"A"
"20153","02991574",10,0,"5","01","D",,"A",3,"D","2","D","1","D","D",486,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991584",4,0,"5","01","D",,"A",2,"D","1","D","2","D","D",792,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991654",16,0,"5","01","D",,"A",1,"D","2","D","1","D","D",45,"D","1","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991654",17,0,"5","02","D",,"A",1,"D","2","D","2","D","D",27,"D","1","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991694",7,0,"5","01","D",,"A",1,"D","2","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02991794",5,0,"5","01","D",,"A",3,"D","2","D","1","D","D",878,"D","1","D","1","D","2","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02991824",14,0,"5","01","D",,"A",1,"D","2","D","2","D","D",1668,"D","1","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991824",15,0,"5","02","D",,"A",1,"D","2","D","1","D","D",1113,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991824",16,0,"5","03","D",,"A",2,"D","2","D","2","D","D",.,"A","2","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02991824",17,0,"1","04","D",,"A",2,"D","2","D","1","D","D",93,"D","2","D","4","D",,"A","1","D",,"A","1","D","06",,"A",,"A",,"A",,"A"
"20153","02991974",7,0,"5","01","D",,"A",3,"D","2","D","1","D","D",2250,"D","1","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992034",3,0,"5","01","D",,"A",1,"D","3","D","1","D","D",.,"A","1","D","1","D","2","D",,"A",,"A","1","D","03",,"A","2","D",,"A",,"A"
"20153","02992044",9,0,"5","01","D",,"A",1,"D","1","D","2","D","D",1179,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992044",10,0,"5","02","D",,"A",1,"D","1","D","2","D","D",225,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A","2","D",,"A",,"A"
"20153","02992064",12,0,"5","01","D",,"A",2,"D","2","D",,"A","A",.,"A","2","D","2","D",,"A",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02992064",13,0,"5","02","D",,"A",2,"D","2","D",,"A","A",.,"A","2","D","1","D","2","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02992084",27,0,"5","02","D",,"A",3,"D","2","D","1","D","D",930,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20153","02992084",28,0,"5","03","D",,"A",3,"D","2","D","1","D","D",60,"D","2","D","4","D",,"A","1","D",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20153","02992084",29,0,"5","04","D",,"A",3,"D","2","D","1","D","D",18,"D","2","D","4","D",,"A","2","D",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20153","02992114",8,0,"5","01","D",,"A",2,"D","2","D","2","D","D",345,"D","2","F","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992114",9,0,"1","02","D",,"A",2,"D","2","D","1","D","D",99,"D","2","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992114",10,0,"1","03","D",,"A",2,"D","3","D","2","D","D",315,"D","2","D","3","D",,"A",,"A",,"A","1","D","06",,"A","2","D",,"A",,"A"
"20153","02992184",3,0,"5","01","D",,"A",4,"D","3","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","2","D","2","D",,,"A","2","D",,"A",,"A"
"20153","02992344",8,0,"5","01","D",,"A",1,"D","2","D","1","D","D",65,"D","1","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02992344",9,0,"5","02","D",,"A",4,"D","2","D","1","D","D",51,"F","1","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992364",6,0,"5","01","D",,"A",1,"D","2","D","1","D","D",.,"A","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992364",7,0,"5","02","D",,"A",2,"D","2","D","1","D","D",1872,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992434",14,0,"5","01","D",,"A",1,"D","2","D","1","D","D",1632,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20153","02992474",14,0,"5","01","D",,"A",1,"D","2","D","1","D","D",455,"D","2","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992474",15,0,"5","02","D",,"A",1,"D","2","D","1","D","D",124,"D","2","D","4","D",,"A","4","D",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992484",11,0,"5","01","D",,"A",2,"D","2","D","2","D","D",636,"D","2","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992554",7,0,"5","01","D",,"A",2,"D","2","D","1","D","D",1560,"D","1","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992604",6,0,"5","01","D",,"A",2,"D","2","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20153","02992604",7,0,"5","02","D",,"A",1,"D","2","D","1","D","D",102,"D","2","D","1","D","1","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992634",17,0,"5","01","D",,"A",2,"D","1","D","2","D","D",1224,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992664",4,0,"5","01","D",,"A",2,"D","1","D","2","D","D",360,"D","2","D","2","D",,"A",,"A",,"A","1","D","04",,"A","2","D",,"A",,"A"
"20153","02992674",5,0,"5","01","D",,"A",1,"D","2","D","1","D","D",325,"D","1","D","1","D","1","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992684",4,0,"1","01","D",,"A",3,"D","2","D","1","D","D",1500,"D","1","D","2","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20153","02992714",9,0,"5","01","D",,"A",2,"D","2","D","1","D","D",4875,"D","2","D","1","D","1","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992724",5,0,"5","01","D",,"A",1,"D","2","D","1","D","D",585,"D","1","D","4","D",,"A","1","D",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20153","02992814",9,0,"5","01","D",,"A",1,"D","2","D","1","D","D",364,"D","2","D","1","D","1","D",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20153","02992814",10,0,"5","02","D",,"A",1,"D","2","D","1","D","D",416,"D","1","D","1","D","1","D",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
